Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,106.87967357880473,2021,3,17,2021-03,1
2021-03-18,106.99935255741444,2021,3,18,2021-03,1
2021-03-19,107.25041548798372,2021,3,19,2021-03,1
2021-03-20,108.35381275503835,2021,3,20,2021-03,1
2021-03-21,111.23223645504066,2021,3,21,2021-03,1
2021-03-22,106.35799649453575,2021,3,22,2021-03,1
2021-03-23,104.49472449261732,2021,3,23,2021-03,1
2021-03-24,105.47990816080328,2021,3,24,2021-03,1
2021-03-25,106.04581175760251,2021,3,25,2021-03,1
2021-03-26,106.14760171548033,2021,3,26,2021-03,1
2021-03-27,106.27844446623894,2021,3,27,2021-03,1
2021-03-28,109.25360817329705,2021,3,28,2021-03,1
2021-03-29,106.05417295726103,2021,3,29,2021-03,1
2021-03-30,105.95818537650932,2021,3,30,2021-03,1
2021-03-31,105.55224830783513,2021,3,31,2021-03,1
2021-04-01,105.21379521241542,2021,4,1,2021-04,2
2021-04-02,105.12517537532364,2021,4,2,2021-04,2
2021-04-03,105.51593402766322,2021,4,3,2021-04,2
2021-04-04,107.45123729736409,2021,4,4,2021-04,2
2021-04-05,104.91821540826598,2021,4,5,2021-04,2
2021-04-06,104.07993040685652,2021,4,6,2021-04,2
2021-04-07,105.10798727743223,2021,4,7,2021-04,2
2021-04-08,105.96141249250545,2021,4,8,2021-04,2
2021-04-09,104.95886044717625,2021,4,9,2021-04,2
2021-04-10,105.10867961470424,2021,4,10,2021-04,2
2021-04-11,105.73482912787831,2021,4,11,2021-04,2
2021-04-12,106.15550477742624,2021,4,12,2021-04,2
2021-04-13,106.95138952192477,2021,4,13,2021-04,2
2021-04-14,106.89553743980295,2021,4,14,2021-04,2
2021-04-15,104.82219722958045,2021,4,15,2021-04,2
2021-04-16,105.43512635930631,2021,4,16,2021-04,2
2021-04-17,106.96291856762996,2021,4,17,2021-04,2
2021-04-18,105.18357032453662,2021,4,18,2021-04,2
2021-04-19,104.68720298563198,2021,4,19,2021-04,2
2021-04-20,105.3238372858159,2021,4,20,2021-04,2
2021-04-21,105.32047218160136,2021,4,21,2021-04,2
2021-04-22,105.70507701886481,2021,4,22,2021-04,2
2021-04-23,105.94196763683387,2021,4,23,2021-04,2
2021-04-24,106.29108032478022,2021,4,24,2021-04,2
2021-04-25,107.03707023647635,2021,4,25,2021-04,2
2021-04-26,106.28236389023908,2021,4,26,2021-04,2
2021-04-27,106.5353820496283,2021,4,27,2021-04,2
2021-04-28,107.70415867807084,2021,4,28,2021-04,2
2021-04-29,107.06962837126162,2021,4,29,2021-04,2
2021-04-30,104.23286401927288,2021,4,30,2021-04,2
2021-05-01,105.1185895091088,2021,5,1,2021-05,3
2021-05-02,105.14749928346363,2021,5,2,2021-05,3
2021-05-03,103.32581362180377,2021,5,3,2021-05,3
2021-05-04,104.01952470679934,2021,5,4,2021-05,3
2021-05-05,106.09093259847022,2021,5,5,2021-05,3
2021-05-06,104.5527518554869,2021,5,6,2021-05,3
2021-05-07,105.65775483155652,2021,5,7,2021-05,3
2021-05-08,105.96766220666295,2021,5,8,2021-05,3
2021-05-09,106.69624270347127,2021,5,9,2021-05,3
2021-05-10,106.20919858815373,2021,5,10,2021-05,3
2021-05-11,106.20478678367427,2021,5,11,2021-05,3
2021-05-12,106.45795460158847,2021,5,12,2021-05,3
2021-05-13,106.58658036415821,2021,5,13,2021-05,3
2021-05-14,107.17353779431996,2021,5,14,2021-05,3
2021-05-15,107.25452062351387,2021,5,15,2021-05,3
2021-05-16,107.5727223152703,2021,5,16,2021-05,3
2021-05-17,109.12487059426259,2021,5,17,2021-05,3
2021-05-18,107.49959811592204,2021,5,18,2021-05,3
2021-05-19,105.02434183548316,2021,5,19,2021-05,3
2021-05-20,104.93516278547447,2021,5,20,2021-05,3
2021-05-21,105.21396940170388,2021,5,21,2021-05,3
2021-05-22,105.45862392347018,2021,5,22,2021-05,3
2021-05-23,102.48737991817987,2021,5,23,2021-05,3
